soldierId,bestSoldierPerc
47734,0.42044187
47735,0.5307311
47736,0.24703282
47737,0.29909804
47738,0.13422251
47739,0.018831879
47740,0.18225485
47741,0.2443471
47742,0.8049574
47743,0.37741804
47744,0.81492674
47745,0.0077147484
47746,0.13753286
47747,0.39383483
47748,0.18966937
47749,0.7688315
47750,0.80402136
47751,0.77382815
47752,0.103093535
47753,0.8661548
47754,0.17674571
47755,0.20217603
47756,0.15346992
47757,0.94239736
47758,0.21935719
47759,0.38040316
47760,0.5666943
47761,0.5211504
47762,0.79891074
47763,0.20214161
47764,0.8002273
47765,0.85398924
47766,0.484752
47767,0.12524769
47768,0.715925
47769,0.21973616
47770,0.757952
47771,0.43873972
47772,0.8002273
47773,0.61266655
47774,0.020169944
47775,0.30899405
47776,0.95332295
47777,0.44298622
47778,0.13498679
47779,0.85443354
47780,0.46805468
47781,0.5391346
47782,0.19542006
47783,0.781214
47784,0.8002273
47785,0.54960227
47786,-0.005111575
47787,0.50824875
47788,0.24202624
47789,0.12716621
47790,0.8002273
47791,0.23869076
47792,0.7599791
47793,0.17931217
47794,0.19362384
47795,0.8002273
47796,0.8554071
47797,0.9298978
47798,0.058764517
47799,0.32043144
47800,0.73707354
47801,0.53550154
47802,0.55963695
47803,0.080221266
47804,0.48391062
47805,0.17214075
47806,0.5360343
47807,0.22980654
47808,0.873119
47809,0.7689373
47810,0.07531291
47811,0.8252817
47812,0.14569941
47813,0.055448264
47814,0.04216999
47815,0.8002273
47816,0.057198733
47817,0.66452885
47818,0.7435708
47819,0.2265051
47820,0.67617536
47821,0.8002273
47822,0.039860636
47823,-0.014664292
47824,0.2385461
47825,0.8667284
47826,0.29771775
47827,0.2652407
47828,0.8002273
47829,0.40372217
47830,0.8039564
47831,0.7723123
47832,0.8002273
47833,0.7670366
47834,0.7384236
47835,0.6427017
47836,0.57299894
47837,0.6938708
47838,0.8140935
47839,0.54266876
47840,0.051998943
47841,0.2063297
47842,0.77940047
47843,0.6377036
47844,0.03702706
47845,0.8002273
47846,0.32913786
47847,0.15556046
47848,-0.0127649605
47849,0.8002273
47850,0.8002273
